name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,rating_expanded,platform_group
SONIC RIDERS,GC,2006,Racing,0.71,0.18,0.0,0.03,59.0,80.0,E,0.9199999999999999,Everyone,Nintendo
STARSKY & HUTCH,PS2,2003,Racing,0.45,0.35,0.0,0.12,,,,0.92,Pending,Playstation
TOBAL NO1,PS,1996,Fighting,0.12,0.08,0.66,0.06,,,,0.9199999999999999,Pending,Playstation
BLUE DRAGON,X360,2006,Role-Playing,0.3,0.32,0.21,0.08,79.0,78.0,T,0.91,Teens,XBox
BUZZ! QUIZ WORLD,PS3,2009,Misc,0.16,0.57,0.0,0.19,,,,0.9199999999999999,Pending,Playstation
HARVEST MOON 3D A NEW BEGINNING,3DS,2012,Action,0.41,0.17,0.3,0.05,74.0,82.0,E,0.93,Everyone,Nintendo
KUNG FU PANDA,Wii,2008,Action,0.5,0.32,0.0,0.09,70.0,67.0,E10+,0.91,Everyone 10y+,Nintendo
STREET HOOPS,PS2,2002,Sports,0.45,0.35,0.0,0.12,,,,0.92,Pending,Playstation
EA SPORTS GRAND SLAM TENNIS,Wii,2009,Sports,0.28,0.51,0.02,0.11,,,,0.92,Pending,Nintendo
EA SPORTS ACTIVE 2,PS3,2010,Sports,0.52,0.27,0.0,0.12,78.0,54.0,E,0.91,Everyone,Playstation
NICKELODEON FIT,Wii,2010,Sports,0.76,0.09,0.0,0.06,,,E,0.9099999999999999,Everyone,Nintendo
KNOCKOUT KINGS 2002,PS2,2002,Sports,0.45,0.35,0.0,0.12,76.0,81.0,T,0.92,Teens,Playstation
INJUSTICE GODS AMONG US,PS4,2013,Fighting,0.46,0.3,0.0,0.16,,,,0.92,Pending,Playstation
TOM CLANCY'S ENDWAR,X360,2008,Strategy,0.58,0.24,0.01,0.09,77.0,72.0,T,0.9199999999999999,Teens,XBox
TOKYO XTREME RACER 3,PS2,2003,Racing,0.35,0.27,0.21,0.09,63.0,89.0,E,0.9199999999999999,Everyone,Playstation
XENOBLADE CHRONICLES,Wii,2010,Role-Playing,0.43,0.25,0.16,0.07,92.0,89.0,T,0.9099999999999999,Teens,Nintendo
ASSASSIN'S CREED,PC,2008,Adventure,0.01,0.83,0.0,0.07,,,,0.9099999999999999,Pending,PC
GLOVER,N64,1998,Platform,0.72,0.17,0.0,0.01,,,,0.9,Pending,Nintendo
COLIN MCRAE RALLY 20,PS,2000,Racing,0.02,0.8,0.02,0.07,90.0,87.0,E,0.9100000000000001,Everyone,Playstation
DYNASTY WARRIORS 7,PS3,2011,Action,0.25,0.13,0.46,0.06,57.0,74.0,T,0.8999999999999999,Teens,Playstation
NBA 2K14,XOne,2013,Sports,0.7,0.11,0.0,0.09,86.0,57.0,E,0.8999999999999999,Everyone,XBox
SSX,PS3,2012,Sports,0.35,0.41,0.02,0.14,81.0,68.0,E,0.92,Everyone,Playstation
SONIC RIDERS ZERO GRAVITY,Wii,2008,Racing,0.48,0.32,0.02,0.09,56.0,81.0,E,0.91,Everyone,Nintendo
AMF BOWLING PINBUSTERS!,Wii,2007,Sports,0.84,0.0,0.0,0.07,,,,0.9099999999999999,Pending,Nintendo
SUPER MOMOTAROU DENTETSU III,SNES,1994,Simulation,0.0,0.0,0.91,0.0,,,,0.91,Pending,Nintendo
SONIC MEGA COLLECTION PLUS,XB,2004,Misc,0.61,0.26,0.0,0.04,75.0,79.0,E,0.91,Everyone,XBox
OPERATION FLASHPOINT DRAGON RISING,PS3,2009,Shooter,0.23,0.46,0.05,0.17,76.0,65.0,M,0.91,Mature,Playstation
TIGER WOODS PGA TOUR 2002,PS2,2002,Sports,0.44,0.35,0.0,0.12,80.0,76.0,E,0.91,Everyone,Playstation
